"STAYER HERCULES Прозрачные очки защитные открытого типа, поликарбонатная монолинза, мягкие двухкомпонентные дужки, серия PROFESSIONAL, 2-110431",596 ₽,1 отзыв,"9 мая доставит Ozon, продавец Магазин Зелёный",https://www.ozon.ru/product/stayer-hercules-prozrachnye-ochki-zashchitnye-otkrytogo-tipa-polikarbonatnaya-monolinza-myagkie-264684699/?asb=1kS54sDmwmcc2bWLsafYPUjtpmBLEQcDpxZzUCzPjPs%253D&asb2=Hi0vHOEfI-IGsMbjJs6B9-4sgJy8A5aJ-2f8gm6pgPdi4zBDb-UibGor2FH6KH1Q
Комбинезон одноразовый нестерильный 25 гр/м / СИЗ / Каспер / Одноразый костюм / Спанбонд,268 ₽,16 отзывов,"14 мая доставит Ozon, продавец Sled",https://www.ozon.ru/product/kombinezon-odnorazovyy-nesterilnyy-25-gr-m-siz-kasper-odnorazyy-kostyum-spanbond-466213316/?asb=Cb4Mm3t01pEs2RWKMiVA2mn8JTA0ARwmgEVQotm8Qas%253D&asb2=07pHdUlfjTKlqMDSDF3KOeEXpg-mSXShQVjUxfJpBNpTVqb0_CHTRLW8A5q6Lih6
"Очки защитные открытые 3М Securefit 201AF-EU, прозрачные",699 ₽,2 отзыва,"8 мая доставит Ozon, продавец 3mrussia-shop",https://www.ozon.ru/product/ochki-zashchitnye-otkrytye-3m-securefit-201af-eu-prozrachnye-406381759/?asb=sGXT%252BbgutUOS3LSymQ2Ydx4EOaCztxLpr6qHAoUW%252FMezzgCKUTBDYwhrARTEJg7z&asb2=q8Dr6d8nI21faPM3-zEmfKl9hOmH5WPwGhaCvTezZuYE2QKt8-CI-mKqscArs5QYgQGVTBx2-d1GoI9HXDNDrhZrOoRZVhQOXwE3J6MX0GMt7U4gyuYlsfERBYZHdHODxKCMARWwfDebCClnF0R2Zw
Костюм хирурга / одноразовый / Спанбонд 25 г/м2 / 5шт,892 ₽,16 отзывов,"14 мая доставит Ozon, продавец Sled",https://www.ozon.ru/product/kostyum-hirurga-odnorazovyy-spanbond-25-g-m2-5sht-530426599/?asb=AVAYT7sCiTK51AIfhKsIpoqjvuWQtdQi%252BA1Db8qWx4HXsEuSWyCPLB4gVYNGx%252FPX&asb2=tSpgwMTWKweEUe8s3Hyg194x7D7yJQ_d-F1q8BDgbjWpKA7m-NYgoo65zfmB6LW7QS6wqQZrR-SMsPGi_7MDC0a_ZgyHG0TKtA1StzYmzyn0ZuJqMV2woPpwv91gdP8YoUeFcEMX6BN03c8MXwh8HQ
"STAYER OPTIMA Прозрачные очки защитные открытого типа, поликарбонатная монолинза, регулируемые по длине дужки, серия PROFESSIONAL, 2-110451",458 ₽,1 отзыв,"9 мая доставит Ozon, продавец Магазин Зелёный",https://www.ozon.ru/product/stayer-optima-prozrachnye-ochki-zashchitnye-otkrytogo-tipa-polikarbonatnaya-monolinza-264684563/?asb=Ezh32W3pv0IUlPKLsiAFIrlnHLd%252BP%252BQk%252FtnyLh5Uxi0%253D&asb2=aKRlBRum4OvfuUksT8lsdDr_hwL17s8o2hluLUxQjvGbEbk-QUopjRmsuRUnXvMX
Майка одноразовая / Блуза хирурга / Спанбонд 40 г/м2 / 5шт,476 ₽,16 отзывов,"14 мая доставит Ozon, продавец Sled",https://www.ozon.ru/product/mayka-odnorazovaya-bluza-hirurga-spanbond-40-g-m2-5sht-536262539/?asb=E7k8Y7HECriI4mb9cPgp1FfHEEcxvinLr2dP1Agux%252BPRvNiAqTTRswecyHHAZtVp&asb2=O8BHF94BWy-leuz2QyXlJQ7pXI7wdtEf64SEM_wIM45Vqnh85kzazkmwjIv9y_0op0AMq_IOBT3BfoFNOXSnc7u5COmr_QidR1780gyYvDL3scWF5TblnMNeZWxoT3JXAyydMW-7dz9wWKC_Q9-bVg
"Шапочка-колпак, Спанбонд 25г/м2 (10шт), белая",310 ₽,16 отзывов,"14 мая доставит Ozon, продавец Sled",https://www.ozon.ru/product/shapochka-kolpak-spanbond-25g-m2-10sht-belaya-534326192/?asb=MZcOfKrsV6m7wW4MQCJ5TYsPCkHMnE92JAemi0SLxMyR8x8YPa4YJ0BDozuvfctC&asb2=XWf1RPBKWpLu-tFuDf9dpD9oKN3TRcJvxmj7PG55I6ddH2EzL-0R07sboivEeuG35ZhvRYySmlJLl9R8Jg-bzvyNHPMjV2yJ195nzKYa79xX790T8tNwLoJgS7VUD7ISGOFOmDKOUI8zPMt5DTKsHA
"Брюки одноразовые, Спанбонд , 25г/м2, р-р 44-46, 10 шт/упак",945 ₽,16 отзывов,"14 мая доставит Ozon, продавец Sled",https://www.ozon.ru/product/bryuki-odnorazovye-spanbond-25g-m2-r-r-44-46-10-sht-upak-531302821/?asb=0davbv9Db1yrBfOdgC8TNNL0PVPlh22XNQQwWGiqwW2Zs6bPXb%252BCdgGkRvEMd0%252Bw&asb2=FCKMORvru8ZS6WQqvOd6AYXhX_0f4o1o2a7Ep_0vPopznpUeDLve22fI0eceQE8nrKL6gYPjjHHnS0bVge-SE-cLvhcimNsxrtMMIwUr7BdWduAbrN2p9I9yuNHqiLkS6ZIVdJ2d1YXtIlR8-3jB9Q
Брюки одноразовые / Спанбонд 25г/м / 10 штук,945 ₽,16 отзывов,"14 мая доставит Ozon, продавец Sled",https://www.ozon.ru/product/bryuki-odnorazovye-spanbond-25g-m-10-shtuk-536401049/?asb=z4LINKFzrdOJctFriA2eP9rIDXF4dr2hNTZPAdHfDYZkbAX9HG8AKqyAA48uOXmN&asb2=Yqaj4ZnOOgRTBJr-MudoAUii-aO7Xg9F6LpaUwP9o_O2DXC2PrWPD22HkB23tlH1zQESq6aJ65NM8cyBCDnYj0ukkOwlKw1lItaubbyGX7RAbIzOf6eHp723WLDiiD_LseNmwRS1XQBK6IHPeynx4A
Костюм хирурга / одноразовый / р-р 56-58 / Спанбонд 25 г/м2 / 5шт,892 ₽,16 отзывов,"14 мая доставит Ozon, продавец Sled",https://www.ozon.ru/product/kostyum-hirurga-odnorazovyy-r-r-56-58-spanbond-25-g-m2-5sht-530482802/?asb=6gBQhIHIuqr6BMUf9bgeCtpcjD8mnkEmIaXiH5Ze9ORGMFGjPoUtDCbcYzI7gmBQ&asb2=m8gEhYlHu6ban9l2TQPjvcYv7ql2N2cijZyOtjqRC9sgJgu8hrtglBithuxyjWuv4CnA2du48pD-MACv7xvzVCb-cAZxwVjOHvf4dNyMF33mXfpGvB1vmmI3nXDyNnt2-hSSEk27yfX6zMk7cMnejQ
"Брюки одноразовые, Спанбонд , 25г/м2, р-р 52-54, 10 шт/упак",925 ₽,16 отзывов,"14 мая доставит Ozon, продавец Sled",https://www.ozon.ru/product/bryuki-odnorazovye-spanbond-25g-m2-r-r-52-54-10-sht-upak-531303339/?asb=NUKchG9aNrH01yr%252BHO0tZSzrcPnJqyjHaMGNGWQqpCQdo%252F%252BAqYZiK6%252F%252BhWQipWf7&asb2=YaKmywoJKw-lPo3-UsQn5DSIzJBuDg6WOas2zi3lrirWkAn7ebO9_3XdQ169oZMIryN6UVi3ipkea7O5p0jTOk98v5tV9ILpHFsBI2Ccw9W4N2LvT3kPt72RiWheNwqKNr9S8K3rVXumyWqaS38cfA
Костюм хирурга / одноразовый / р-р 52-54 / Спанбонд 25 г/м2 / 5шт,872 ₽,16 отзывов,"14 мая доставит Ozon, продавец Sled",https://www.ozon.ru/product/kostyum-hirurga-odnorazovyy-r-r-52-54-spanbond-25-g-m2-5sht-530495432/?asb=Exvgv%252F4ZlgIy7Ak1mSxVpXoxfv5Z7PexCbW0UVBIBEtsfjrRtePifjfZsRPEiAeZ&asb2=c9C6-YukMZLYcQQ1E-MVhnOW2wVMlp5Ujz1OgtoakcCvvZa8Y3kSSwC9TdVD3s3L-WL6ZBTZ41Y1eIkoq1rJX9IilOi0ppmFHUGt9Qu62-sPa_nxdIuyKuez0n5Fc4ZD5AUwjQPzzqna3fxhirGkCA
Брюки одноразовые / Спанбонд 25г/м2 / 10 шт,925 ₽,16 отзывов,"14 мая доставит Ozon, продавец Sled",https://www.ozon.ru/product/bryuki-odnorazovye-spanbond-25g-m2-10-sht-536262593/?asb=EYg2qk4x9x9AhimaAo%252BwqCxxax%252BS8xOAoaiKCNyj0V8%253D&asb2=e6E9hgO750w_CJnGrSpzKICN1qvbjMnq7pgZNDnar2GH5XGjkOrSXH8Wbcs53nVKXwHEdjkAUCEhykAm9ibyJA
